task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te mean (nats per second),te std,mean runtime (second),
150,BC,6,POm,60,0.387918849,0.703413846,101.6710431,FALSE
330,POm,56,BC,4,0.128067633,0.473362026,101.3537007,FALSE
52,BC,11,POm,47,0.581088827,1.046970093,100.9386914,FALSE
21,BC,1,POm,50,0.870986012,0.900425793,100.4042802,FALSE
282,POm,52,BC,4,0.2084792,0.683899326,100.0351815,FALSE
44,BC,10,POm,56,0.085781613,0.42261084,99.98707005,FALSE
99,BC,3,POm,60,0.034328363,0.976115643,99.80163835,FALSE
48,BC,10,POm,60,0.373652165,0.808065686,99.42480156,FALSE
30,BC,1,POm,59,-0.464917295,0.651372287,98.79630068,FALSE
98,BC,3,POm,59,-0.250419532,0.472513935,97.71889514,FALSE
342,POm,57,BC,4,0.114117315,0.63013007,96.63666354,FALSE
389,POm,61,BC,3,-0.00555964,0.235485458,96.31469008,FALSE
318,POm,55,BC,4,0.142395301,0.510165189,95.38988022,FALSE
46,BC,10,POm,58,0.057246889,0.22574623,95.06404721,FALSE
246,POm,49,BC,4,0.2842055,0.539959309,93.04461846,FALSE
335,POm,56,BC,9,-0.076478608,0.133296337,91.98151734,FALSE
100,BC,3,POm,61,-0.442357866,0.545736126,91.95751864,FALSE
184,BC,8,POm,60,0.24500394,0.72188261,91.23558643,FALSE
270,POm,51,BC,4,0.139394675,0.488037239,91.00234492,FALSE
87,BC,3,POm,48,0.174214864,0.661574153,90.63901865,FALSE
133,BC,5,POm,60,0.471394286,0.682643368,88.15349385,FALSE
80,BC,12,POm,58,0.025452129,0.238970864,87.6464066,FALSE
86,BC,3,POm,47,0.25529465,0.798363945,86.80279226,FALSE
26,BC,1,POm,55,-0.0497193,0.814421615,86.03429893,FALSE
132,BC,5,POm,59,-0.107828744,0.413066899,85.58212605,FALSE
188,BC,9,POm,47,0.489260345,1.027546853,84.29426899,FALSE
